rep_id,first_name,last_name,email,phone,region,territory,manager_id,hire_date,employment_type,base_salary,commission_rate,quota,ytd_sales,attainment_percentage,total_customers,avg_deal_size,close_rate,active_deals,pipeline_value,skills,certifications,performance_rating,last_training,status,notes
REP100,Micheal,White,xacosta@example.net,344-407-1838,Middle East,North Africa,,2019-07-28,Part-time,60914,0.056,185789,223394,120.24,82,15222,0.125,4,163191,"[""Negotiation"", ""Prospecting"", ""Closing""]","[""Salesforce"", ""Google Analytics""]",4.9,,On Leave,Expert in enterprise sales
REP101,Courtney,Morales,daniel69@example.com,950-602-8287x53753,Europe,Southern Europe,,2020-10-24,Contract,93668,0.114,258874,79752,30.81,27,41341,0.343,2,164211,"[""Closing"", ""CRM"", ""Negotiation""]","[""Google Analytics""]",3.5,2025-11-16,Active,Expert in enterprise sales
REP102,Hector,Shah,michaelfarrell@example.net,780-858-2360,Middle East,GCC,,2024-04-09,Contract,105353,0.144,310737,207412,66.75,171,10886,0.179,7,145619,"[""CRM"", ""Negotiation"", ""Closing""]","[""Salesforce"", ""Microsoft Dynamics"", ""Google Analytics""]",3.8,,Active,
REP103,Katie,Garrett,qford@example.net,559-635-1039x434,Middle East,GCC,,2020-12-15,Part-time,68212,0.128,198293,84131,42.43,128,31561,0.278,12,312019,"[""CRM"", ""Closing"", ""Presentation""]","[""Microsoft Dynamics""]",4.2,2025-09-09,On Leave,Needs coaching
REP104,Erin,Crawford,kristie77@example.com,(687)540-1624x759,Middle East,Levant,,2021-01-25,Full-time,104914,0.059,482998,293950,60.86,165,11844,0.208,12,57118,"[""Negotiation"", ""Presentation"", ""Closing""]",[],4.3,2025-10-05,Active,Needs coaching
REP105,William,Hess,hjohnson@example.org,615.520.2330,North America,East Coast,,2016-12-21,Part-time,108917,0.094,305334,345477,113.15,122,2671,0.355,4,484051,"[""Prospecting"", ""Negotiation"", ""Presentation""]","[""Google Analytics""]",3.8,,On Leave,Top performer
REP106,Lisa,Alexander,icraig@example.net,+1-267-657-8340x662,Middle East,GCC,REP4,2016-08-26,Contract,96834,0.076,209778,185434,88.4,158,8976,0.106,9,331039,"[""Closing"", ""CRM"", ""Negotiation""]","[""Google Analytics""]",4.9,2025-11-25,On Leave,Expert in enterprise sales
REP107,Stephanie,Reynolds,jessicapacheco@example.org,490.534.3518,North America,West Coast,REP1,2024-07-12,Contract,85990,0.1,257810,239876,93.04,10,36945,0.128,4,454032,"[""Presentation"", ""Prospecting"", ""Closing""]","[""Salesforce"", ""HubSpot"", ""Microsoft Dynamics""]",4.1,2026-01-08,Active,Expert in enterprise sales
REP108,Leah,Abbott,christopher96@example.net,443.699.3276,Latin America,Mexico,REP5,2019-04-15,Full-time,68856,0.136,103505,92283,89.16,23,20810,0.124,7,97782,"[""Negotiation"", ""Prospecting"", ""Presentation""]",[],3.8,2025-10-19,Active,
REP109,Christopher,Miller,cohenvictor@example.net,458-985-5750x4213,Latin America,Andean,REP3,2023-02-11,Contract,65250,0.079,346979,135959,39.18,165,42451,0.372,18,269266,"[""Closing"", ""Negotiation"", ""Presentation""]","[""Google Analytics"", ""Microsoft Dynamics"", ""HubSpot""]",4.3,,On Leave,
REP110,Amy,Cunningham,turnerdenise@example.org,909-353-4306x50207,Latin America,Mexico,REP1,2020-02-01,Part-time,54046,0.103,347602,114055,32.81,193,35557,0.102,15,283465,"[""Negotiation"", ""CRM"", ""Presentation""]","[""Salesforce"", ""Microsoft Dynamics""]",4.2,,On Leave,Needs coaching
REP111,Jessica,Williams,oscar23@example.net,(242)468-3854x86146,Middle East,Levant,REP5,2018-06-16,Contract,87037,0.059,411951,570329,138.45,35,20183,0.156,13,457384,"[""CRM"", ""Prospecting"", ""Negotiation""]","[""Salesforce"", ""Google Analytics"", ""HubSpot""]",3.2,2025-11-03,Active,Top performer
REP112,Dale,Henson,hornchris@example.com,225.666.2044,Asia Pacific,India,REP3,2024-09-01,Part-time,72014,0.141,253142,255807,101.05,139,27486,0.102,10,411380,"[""Presentation"", ""CRM"", ""Prospecting""]",[],4.0,2026-01-16,Active,
REP113,Gerald,Mcdowell,ramoschristine@example.net,471.870.7260x27902,Middle East,GCC,REP3,2025-01-25,Contract,76787,0.111,156616,193271,123.4,93,37311,0.209,16,157067,"[""Negotiation"", ""Prospecting"", ""Closing""]","[""HubSpot""]",4.0,2026-01-30,Active,Expert in enterprise sales
REP114,Olivia,Lynch,huntterri@example.net,001-623-521-3206,North America,South,REP3,2019-10-28,Part-time,84887,0.128,362641,150389,41.47,47,44206,0.26,9,469770,"[""Prospecting"", ""Closing"", ""Presentation""]","[""Google Analytics"", ""Microsoft Dynamics""]",4.0,2025-12-24,Active,Needs coaching
