customer_id,first_name,last_name,email,phone,date_of_birth,age,gender,income_bracket,occupation,company,address_street,address_city,address_state,address_country,address_postal_code,address_region,account_created,last_login,account_status,customer_segment,lifetime_value,avg_order_value,purchase_frequency,last_purchase_date,total_orders,total_spent,preferred_channel,preferred_category,loyalty_points,newsletter_subscribed,marketing_opt_in,customer_tier,credit_score,preferred_payment_method,shipping_preference,social_media_twitter,social_media_instagram,social_media_facebook,notes
CUST10000,John,Wells,elliottjeffery@example.net,852-899-1241x904,1993-10-04,77,Other,Middle,"Engineer, civil (contracting)",,314 Laura Port,Prague,,Spain,05884,Europe,2024-01-20,2026-02-02,Closed,Loyal,4433,382,6,2025-12-20,1,4433,Mobile App,Electronics,13340,False,True,Silver,444.0,Apple Pay,Next Day,,@casey50,,VIP customer
CUST10001,Cynthia,Poole,ryangross@example.net,998-577-6945x314,1996-03-04,67,Female,Low,"Psychologist, forensic",,0752 Lewis Union Suite 549,Shortville,Mississippi,Jersey,92406,Asia Pacific,2023-06-14,2026-02-03,Active,Churned,958,184,5,2025-11-09,9,958,Website,Home & Kitchen,40803,True,False,Bronze,684.0,Apple Pay,Express,@christophercortez,,,Frequent returner
CUST10002,Tracy,Chang,fbrewer@example.com,9147363495,1974-01-21,66,Other,Middle,Statistician,,7444 David Fields Suite 182,Prague,,Germany,25606,Europe,2022-12-10,2026-01-31,Active,At Risk,99,200,2,2025-12-05,0,99,Email,Fashion,34922,True,False,Platinum,565.0,PayPal,Next Day,@tina34,,facebook.com/michaelturner,
CUST10003,Angela,Terry,danamullins@example.org,6949777520,1952-11-12,62,Other,High,Bookseller,Vasquez-Ray,29413 Angela Mall,West Brandon,,Austria,79972,Middle East,2023-01-08,,Suspended,Loyal,1991,226,12,,6,1991,Website,Electronics,5711,False,False,Bronze,555.0,Credit Card,Express,,,facebook.com/chayes,
CUST10004,Kenneth,Chapman,ntorres@example.org,+1-213-834-1232x812,1975-10-05,78,Male,High,"Therapist, music",,0344 Jones Fort Suite 936,London,,Germany,15544,Europe,2025-09-24,2026-01-18,Active,New,314,125,1,2026-01-10,0,314,Email,Sports,48522,False,False,Gold,,Apple Pay,Express,,,facebook.com/rebekahserrano,Frequent returner
CUST10005,Madison,Morse,smartinez@example.com,001-664-288-7719x065,1951-04-26,38,Female,Low,Estate manager/land agent,,490 Thomas Run,North Gabrielport,West Virginia,Nepal,58464,Middle East,2023-06-20,2026-01-16,Active,Loyal,1402,272,9,2026-01-04,2,1402,Email,Electronics,27482,True,False,Platinum,317.0,Credit Card,Next Day,@fwalters,@harrisonricky,,Prefers eco-friendly products
CUST10006,Heather,Roberts,jcervantes@example.org,215.545.1680x876,1980-05-19,69,Other,Low,Medical illustrator,"Avila, Garrett and Wolf",8247 Martinez Roads,Elizabethburgh,Nebraska,Greenland,80307,Latin America,2023-02-19,2026-01-15,Closed,Returning,515,82,2,,3,515,Mobile App,Beauty,40519,False,True,Bronze,577.0,Bank Transfer,Next Day,@andrea86,@walkermaureen,facebook.com/murraydavid,Frequent returner
CUST10007,William,Hill,pbaird@example.com,+1-826-739-8214,1998-09-15,54,Male,Middle,"Runner, broadcasting/film/video",,44997 Sean Orchard Suite 588,South Sarah,,French Guiana,49942,Asia Pacific,2024-12-21,,Inactive,New,135,191,6,,0,135,Email,Beauty,17519,False,False,Silver,,PayPal,Next Day,,@molly39,facebook.com/xhall,Frequent returner
CUST10008,Robert,Flores,zthornton@example.com,(227)402-8951x7187,1973-01-01,23,Female,High,"Designer, fashion/clothing",Harrison LLC,615 Finley Road Suite 809,London,,France,09469,Europe,2023-02-05,2026-01-21,Closed,Loyal,3096,211,11,,12,3096,Email,Home & Kitchen,36203,True,True,Silver,,Credit Card,Express,,,,Frequent returner
CUST10009,Wendy,Francis,wgood@example.net,001-817-424-0050x455,1961-09-20,46,Female,High,Set designer,,222 Chelsea Light Apt. 792,San Jose,NY,USA,30934,North America,2025-01-08,2026-01-20,Suspended,New,85,178,6,,1,85,In-Store,Home & Kitchen,41091,False,False,Silver,827.0,Bank Transfer,Next Day,,,,VIP customer
CUST10010,Steve,Estrada,rsantana@example.net,(617)559-4647,1971-04-13,62,Other,Middle,Radiation protection practitioner,Young PLC,440 Hill Port Apt. 974,Houston,OH,USA,30663,North America,2024-02-05,2026-01-18,Inactive,Loyal,1214,413,11,2026-01-09,0,1214,Email,Electronics,47639,True,False,Bronze,,Bank Transfer,Next Day,,,facebook.com/christinebyrd,
CUST10011,Jennifer,Hopkins,courtneyberger@example.net,7478095214,1957-01-20,31,Other,Low,"Engineer, control and instrumentation",Buchanan LLC,47451 Mccarty Divide Apt. 685,Amsterdam,,UK,12337,Europe,2024-06-15,2026-01-08,Suspended,VIP,21800,1567,32,,15,21800,Website,Beauty,36920,True,False,Silver,,Bank Transfer,Standard,@amanda75,,facebook.com/brenda51,VIP customer
CUST10012,Sherry,Murphy,deborahreid@example.com,001-446-812-0047x113,1975-12-22,48,Male,Low,Metallurgist,"Avery, Horton and Fernandez",1796 Johnson Land,South Angel,,Turks and Caicos Islands,28978,Middle East,2024-11-14,2026-01-29,Suspended,Loyal,1516,401,9,2025-12-01,16,1516,In-Store,Sports,49034,False,False,Platinum,470.0,Apple Pay,Next Day,@cory58,@bruce43,facebook.com/rushmadison,
CUST10013,Christopher,Lewis,williamsmatthew@example.org,001-431-283-9335,1963-12-21,66,Male,Middle,Dance movement psychotherapist,,421 David Knolls,Madrid,,France,31687,Europe,2023-11-08,2026-01-08,Suspended,New,447,180,5,2025-11-25,6,447,In-Store,Beauty,41886,False,True,Platinum,,Apple Pay,Next Day,@brian68,,,Frequent returner
CUST10014,William,Rodriguez,soniawilliams@example.net,447.300.7661x77115,1953-09-09,54,Female,Very High,Haematologist,,9847 Garcia Squares Apt. 836,Lake Brycemouth,Mississippi,Slovakia (Slovak Republic),59687,Asia Pacific,2023-01-16,2026-01-28,Suspended,New,365,101,1,2025-12-11,2,365,Website,Sports,41189,True,False,Gold,,Apple Pay,Standard,@uross,,,Prefers eco-friendly products
